semantics 1
# The behaviour fingerprint. See docs/SEMANTICS-VERSION.md §5.
# scenario/pos kind command | verdict | T[trades] E[events] | state last mark bid ask counters | digest

== fifo (fifo, stp=CANCEL_NEWEST, maxOrders=100000, shard=0)
capped-decrement-shard3/0032 SUBMIT      u2 B L 98x6 GTC+PO+g2    | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#844424930131990/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=100 mark=0 bid=- ask=100:2 n=3 oid=22 tid=2 eid=33 | aca09dd5adf48ece
capped-decrement-shard3/0033 SUBMIT      u3 S M 104x1 GTC         | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#844424930131991/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=100 mark=0 bid=- ask=100:2 n=3 oid=23 tid=2 eid=34 | fe6279103dd01d14
capped-decrement-shard3/0034 SUBMIT      u3 B L 99x7 GTC          | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#844424930131992/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=100 mark=0 bid=- ask=100:2 n=3 oid=24 tid=2 eid=35 | 62bd1422d949d9d6
capped-decrement-shard3/0035 REDUCE      u2 <-20 to 7             | REJECTED:ORDER_NOT_FOUND     | T[] E[] | CANCEL_ONLY last=100 mark=0 bid=- ask=100:2 n=3 oid=24 tid=2 eid=35 | 62bd1422d949d9d6
capped-decrement-shard3/0036 SUBMIT      u2 S L 104x9 GTC         | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#844424930131993/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=100 mark=0 bid=- ask=100:2 n=3 oid=25 tid=2 eid=36 | 270059c85391afb8
capped-decrement-shard3/0037 SUBMIT      u1 B L 101x8 FOK+CANCEL_NEWEST | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#844424930131994/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=100 mark=0 bid=- ask=100:2 n=3 oid=26 tid=2 eid=37 | fcf972b0f484a8ce
capped-decrement-shard3/0038 SUBMIT      u1 S L 100x5 IOC+CANCEL_BOTH+g1 | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#844424930131995/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=100 mark=0 bid=- ask=100:2 n=3 oid=27 tid=2 eid=38 | 861295eff9a4a240
capped-decrement-shard3/0039 CANCEL      u0 <-9                   | REJECTED:ORDER_NOT_FOUND     | T[] E[] | CANCEL_ONLY last=100 mark=0 bid=- ask=100:2 n=3 oid=27 tid=2 eid=38 | 861295eff9a4a240
capped-decrement-shard3/0040 SUBMIT      u2 S L 99x5 GTC          | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#844424930131996/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=100 mark=0 bid=- ask=100:2 n=3 oid=28 tid=2 eid=39 | 8145a548db912a1c
capped-decrement-shard3/0041 SUBMIT      u1 S L 98x8 GTC          | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#844424930131997/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=100 mark=0 bid=- ask=100:2 n=3 oid=29 tid=2 eid=40 | 30f7bca176830f51
capped-decrement-shard3/0042 CANCEL      u2 <-25                  | REJECTED:ORDER_NOT_FOUND     | T[] E[] | CANCEL_ONLY last=100 mark=0 bid=- ask=100:2 n=3 oid=29 tid=2 eid=40 | 30f7bca176830f51
capped-decrement-shard3/0043 SUBMIT      u1 S L 99x6 GTC+g1+priv  | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#844424930131998/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=100 mark=0 bid=- ask=100:2 n=3 oid=30 tid=2 eid=41 | 36cebf0576c142e8
capped-decrement-shard3/0044 REPLACE     u1 S L 99x7 GTC <-41     | REJECTED:ORDER_NOT_FOUND     | T[] E[] | CANCEL_ONLY last=100 mark=0 bid=- ask=100:2 n=3 oid=30 tid=2 eid=41 | 36cebf0576c142e8
capped-decrement-shard3/0045 SUBMIT      u0 B L 103x7 GTC+CANCEL_OLDEST+g1 | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#844424930131999/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=100 mark=0 bid=- ask=100:2 n=3 oid=31 tid=2 eid=42 | 9f3c41c16650ae22
capped-decrement-shard3/0046 SUBMIT      u3 B L 103x1 GTC+DECREMENT | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#844424930132000/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=100 mark=0 bid=- ask=100:2 n=3 oid=32 tid=2 eid=43 | 560067db5a52d074
capped-decrement-shard3/0047 REPLACE     u1 B L 99x9 GTC+ALLOW <-44 | REJECTED:ORDER_NOT_FOUND     | T[] E[] | CANCEL_ONLY last=100 mark=0 bid=- ask=100:2 n=3 oid=32 tid=2 eid=43 | 560067db5a52d074
capped-decrement-shard3/0048 SUBMIT      u0 B L 102x3 GTC+PO+ALLOW+g1 | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#844424930132001/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=100 mark=0 bid=- ask=100:2 n=3 oid=33 tid=2 eid=44 | e19c9a752836b5b8
capped-decrement-shard3/0049 SUBMIT      u0 B L 98x3 GTC+CANCEL_OLDEST+g2 | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#844424930132002/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=100 mark=0 bid=- ask=100:2 n=3 oid=34 tid=2 eid=45 | c00f653cb03271cf
capped-decrement-shard3/0050 SUBMIT      u3 S L 103x8 GTC         | REJECTED:NEW_ORDERS_HALTED   | T[] E[REJECTED#844424930132003/NEW_ORDERS_HALTED/REJECTED/0] | CANCEL_ONLY last=100 mark=0 bid=- ask=100:2 n=3 oid=35 tid=2 eid=46 | d7cda1c46c1c71e4
capped-decrement-shard3/0051 RESUME                               | OK                           | T[] E[RESUMED#0] | OPEN last=100 mark=0 bid=- ask=100:2 n=3 oid=35 tid=2 eid=47 | eeb7a82dcbfa73a4
capped-decrement-shard3/0052 SUBMIT      u0 S L 104x8 GTC+DECREMENT | NEW                          | T[] E[ACCEPTED#844424930132004/NEW/0] | OPEN last=100 mark=0 bid=- ask=100:2 n=4 oid=36 tid=2 eid=48 | e4cde5a873aac6f2
capped-decrement-shard3/0053 RESUME                               | OK                           | T[] E[] | OPEN last=100 mark=0 bid=- ask=100:2 n=4 oid=36 tid=2 eid=48 | e4cde5a873aac6f2
capped-decrement-shard3/0054 SUBMIT      u2 S L 103x3 GTC+ALLOW+g2 | NEW                          | T[] E[ACCEPTED#844424930132005/NEW/0] | OPEN last=100 mark=0 bid=- ask=100:2 n=5 oid=37 tid=2 eid=49 | c80a2e0efb3285af
capped-decrement-shard3/0055 SUBMIT      u2 B L 102x7 FOK+g2      | REJECTED:FOK_CANNOT_FILL     | T[] E[REJECTED#844424930132006/FOK_CANNOT_FILL/REJECTED/0 CANCELED#844424930131986/PARTIALLY_FILLED/7] | OPEN last=100 mark=0 bid=- ask=103:11 n=4 oid=38 tid=2 eid=51 | 8e5810b0c8006f13
capped-decrement-shard3/0056 CANCEL_ALL  u2                       | CANCELLED n=1                | T[] E[CANCELED#844424930132005/CANCELLED/0] | OPEN last=100 mark=0 bid=- ask=103:8 n=3 oid=38 tid=2 eid=52 | 8704d73ca8f027d8
capped-decrement-shard3/0057 SUBMIT      u0 S L 102x6 GTC         | NEW                          | T[] E[ACCEPTED#844424930132007/NEW/0] | OPEN last=100 mark=0 bid=- ask=102:6 n=4 oid=39 tid=2 eid=53 | b9524eaf440a5c5a
capped-decrement-shard3/0058 REPLACE     u1 B L 103x5 GTC+g1 <-30 | REJECTED:ORDER_NOT_FOUND     | T[] E[] | OPEN last=100 mark=0 bid=- ask=102:6 n=4 oid=39 tid=2 eid=53 | b9524eaf440a5c5a
capped-decrement-shard3/0059 SUBMIT      u1 B L 100x4 FOK+g2      | REJECTED:FOK_CANNOT_FILL     | T[] E[REJECTED#844424930132008/FOK_CANNOT_FILL/REJECTED/0] | OPEN last=100 mark=0 bid=- ask=102:6 n=4 oid=40 tid=2 eid=54 | fa2c10dbe869cb32
capped-decrement-shard3/0060 REPLACE     u1 B L 98x6 GTC+PO+ALLOW+g1 <-43 | REJECTED:ORDER_NOT_FOUND     | T[] E[] | OPEN last=100 mark=0 bid=- ask=102:6 n=4 oid=40 tid=2 eid=54 | fa2c10dbe869cb32
capped-decrement-shard3/0061 SUBMIT      u1 S L 103x5 GTC         | NEW                          | T[] E[ACCEPTED#844424930132009/NEW/0] | OPEN last=100 mark=0 bid=- ask=102:6 n=5 oid=41 tid=2 eid=55 | ae36e2449f2ab9f6
capped-decrement-shard3/0062 CANCEL      u0 <-48                  | REJECTED:ORDER_NOT_FOUND     | T[] E[] | OPEN last=100 mark=0 bid=- ask=102:6 n=5 oid=41 tid=2 eid=55 | ae36e2449f2ab9f6
capped-decrement-shard3/0063 SUBMIT      u1 B L 98x1 GTC+CANCEL_OLDEST+g2 | NEW                          | T[] E[ACCEPTED#844424930132010/NEW/0] | OPEN last=100 mark=0 bid=98:1 ask=102:6 n=6 oid=42 tid=2 eid=56 | 1d4e986abf9397ea
capped-decrement-shard3/0064 SUBMIT      u2 S L 98x4 GTC          | PARTIALLY_FILLED             | T[844424930131971:98x1 b844424930132010 s844424930132011 m844424930132010 t844424930132011 S seq3] E[ACCEPTED#844424930132011/PARTIALLY_FILLED/1 TRADE#844424930132011/98x1] | OPEN last=98 mark=0 bid=- ask=98:3 n=6 oid=43 tid=3 eid=58 | ca6d8454347f0c8e
capped-decrement-shard3/0065 SUBMIT      u2 B L 101x8 GTC+CANCEL_NEWEST | CANCELLED                    | T[] E[ACCEPTED#844424930132012/CANCELLED/0 CANCELED#844424930132012/CANCELLED/0] | OPEN last=98 mark=0 bid=- ask=98:3 n=6 oid=44 tid=3 eid=60 | c1fdc3e96b423c0b
capped-decrement-shard3/0066 SUBMIT      u1 B L 100x1 GTC         | FILLED                       | T[844424930131972:98x1 b844424930132013 s844424930132011 m844424930132011 t844424930132013 B seq4] E[ACCEPTED#844424930132013/FILLED/1 TRADE#844424930132013/98x1] | OPEN last=98 mark=0 bid=- ask=98:2 n=6 oid=45 tid=4 eid=62 | ed33f94ded99538d
capped-decrement-shard3/0067 REDUCE      u1 <-58 to 3             | REJECTED:ORDER_NOT_FOUND     | T[] E[] | OPEN last=98 mark=0 bid=- ask=98:2 n=6 oid=45 tid=4 eid=62 | ed33f94ded99538d
capped-decrement-shard3/0068 SUBMIT      u0 B L 102x8 IOC         | CANCELLED                    | T[844424930131973:98x2 b844424930132014 s844424930132011 m844424930132011 t844424930132014 B seq5] E[ACCEPTED#844424930132014/CANCELLED/2 TRADE#844424930132014/98x2 CANCELED#844424930132007/NEW/0 CANCELED#844424930132014/CANCELLED/2] | OPEN last=98 mark=0 bid=- ask=103:13 n=4 oid=46 tid=5 eid=66 | 9e9257236eacbe7a
capped-decrement-shard3/0069 SUBMIT      u1 S M 101x3 GTC+CANCEL_NEWEST+g2 | REJECTED:MARKET_NO_LIQUIDITY | T[] E[ACCEPTED#844424930132015/CANCELLED/0 CANCELED#844424930132015/CANCELLED/0] | OPEN last=98 mark=0 bid=- ask=103:13 n=4 oid=47 tid=5 eid=68 | b1b2180850e98bfd
capped-decrement-shard3/0070 SUBMIT      u0 S L 101x9 GTC+CANCEL_NEWEST | NEW                          | T[] E[ACCEPTED#844424930132016/NEW/0] | OPEN last=98 mark=0 bid=- ask=101:9 n=5 oid=48 tid=5 eid=69 | 971bafc3d4c93146
capped-decrement-shard3/0071 SUBMIT      u0 S L 99x5 IOC          | CANCELLED                    | T[] E[ACCEPTED#844424930132017/CANCELLED/0 CANCELED#844424930132017/CANCELLED/0] | OPEN last=98 mark=0 bid=- ask=101:9 n=5 oid=49 tid=5 eid=71 | 9fe849bc230d1296
capped-decrement-shard3/0072 SUBMIT      u1 B M 100x5 FOK+g1      | FILLED                       | T[844424930131974:101x5 b844424930132018 s844424930132016 m844424930132016 t844424930132018 B seq6] E[ACCEPTED#844424930132018/FILLED/5 TRADE#844424930132018/101x5] | OPEN last=101 mark=0 bid=- ask=101:4 n=5 oid=50 tid=6 eid=73 | 94a4e06547cb34f7
capped-decrement-shard3/0073 SUBMIT      u3 B L 101x7 FOK+g2      | REJECTED:FOK_CANNOT_FILL     | T[] E[REJECTED#844424930132019/FOK_CANNOT_FILL/REJECTED/4] | OPEN last=101 mark=0 bid=- ask=101:4 n=5 oid=51 tid=7 eid=74 | 62f136e6f6c8e9c2
capped-decrement-shard3/0074 RESUME                               | OK                           | T[] E[] | OPEN last=101 mark=0 bid=- ask=101:4 n=5 oid=51 tid=7 eid=74 | 62f136e6f6c8e9c2
capped-decrement-shard3/0075 CANCEL_ALL  u2                       | CANCELLED n=0                | T[] E[] | OPEN last=101 mark=0 bid=- ask=101:4 n=5 oid=51 tid=7 eid=74 | 62f136e6f6c8e9c2
capped-decrement-shard3/0076 SUBMIT      u0 S L 102x8 GTC+CANCEL_OLDEST+g1 | NEW                          | T[] E[ACCEPTED#844424930132020/NEW/0] | OPEN last=101 mark=0 bid=- ask=101:4 n=6 oid=52 tid=7 eid=75 | 3911d4100079cad8
capped-decrement-shard3/0077 CANCEL      u2 <-59                  | REJECTED:ORDER_NOT_FOUND     | T[] E[] | OPEN last=101 mark=0 bid=- ask=101:4 n=6 oid=52 tid=7 eid=75 | 3911d4100079cad8
capped-decrement-shard3/0078 REDUCE      u1 <-58 to 7             | REJECTED:ORDER_NOT_FOUND     | T[] E[] | OPEN last=101 mark=0 bid=- ask=101:4 n=6 oid=52 tid=7 eid=75 | 3911d4100079cad8
capped-decrement-shard3/0079 SUBMIT      u1 B M 100x2 GTC+CANCEL_BOTH | FILLED                       | T[844424930131976:101x2 b844424930132021 s844424930132016 m844424930132016 t844424930132021 B seq8] E[ACCEPTED#844424930132021/FILLED/2 TRADE#844424930132021/101x2] | OPEN last=101 mark=0 bid=- ask=101:2 n=6 oid=53 tid=8 eid=77 | fd15d7ac56f33b78
capped-decrement-shard3/0080 REPLACE     u1 S L 104x6 GTC+g1 <-66 | REJECTED:ORDER_NOT_FOUND     | T[] E[] | OPEN last=101 mark=0 bid=- ask=101:2 n=6 oid=53 tid=8 eid=77 | fd15d7ac56f33b78
capped-decrement-shard3/0081 REPLACE     u1 B L 99x5 FOK+ALLOW <-66 | REJECTED:ORDER_NOT_FOUND     | T[] E[] | OPEN last=101 mark=0 bid=- ask=101:2 n=6 oid=53 tid=8 eid=77 | fd15d7ac56f33b78
capped-decrement-shard3/0082 CANCEL      u1 <-63                  | REJECTED:ORDER_NOT_FOUND     | T[] E[] | OPEN last=101 mark=0 bid=- ask=101:2 n=6 oid=53 tid=8 eid=77 | fd15d7ac56f33b78
capped-decrement-shard3/0083 SUBMIT      u2 B L 100x7 IOC         | CANCELLED                    | T[] E[ACCEPTED#844424930132022/CANCELLED/0 CANCELED#844424930132022/CANCELLED/0] | OPEN last=101 mark=0 bid=- ask=101:2 n=6 oid=54 tid=8 eid=79 | ef2dfcb1c664902d
capped-decrement-shard3/0084 SUBMIT      u3 B L 103x3 GTC         | FILLED                       | T[844424930131977:101x2 b844424930132023 s844424930132016 m844424930132016 t844424930132023 B seq9 844424930131978:102x1 b844424930132023 s844424930132020 m844424930132020 t844424930132023 B seq10] E[ACCEPTED#844424930132023/FILLED/3 TRADE#844424930132023/101x2 TRADE#844424930132023/102x1] | OPEN last=102 mark=0 bid=- ask=102:7 n=5 oid=55 tid=10 eid=82 | 2c322bc98ad7fd39
capped-decrement-shard3/0085 SUBMIT      u1 S L 102x9 GTC         | NEW                          | T[] E[ACCEPTED#844424930132024/NEW/0] | OPEN last=102 mark=0 bid=- ask=102:16 n=6 oid=56 tid=10 eid=83 | 4913942e38fec670
capped-decrement-shard3/0086 SUBMIT      u2 S L 101x6 FOK+CANCEL_OLDEST | REJECTED:FOK_CANNOT_FILL     | T[] E[REJECTED#844424930132025/FOK_CANNOT_FILL/REJECTED/0] | OPEN last=102 mark=0 bid=- ask=102:16 n=6 oid=57 tid=10 eid=84 | c48724556abced60
capped-decrement-shard3/0087 CANCEL      u2 <-40                  | REJECTED:ORDER_NOT_FOUND     | T[] E[] | OPEN last=102 mark=0 bid=- ask=102:16 n=6 oid=57 tid=10 eid=84 | c48724556abced60
capped-decrement-shard3/0088 SUBMIT      u2 S L 98x1 GTC+DECREMENT | NEW                          | T[] E[ACCEPTED#844424930132026/NEW/0] | OPEN last=102 mark=0 bid=- ask=98:1 n=7 oid=58 tid=10 eid=85 | f4bf55cff2390654
capped-decrement-shard3/0089 SUBMIT      u0 S L 99x4 GTC          | NEW                          | T[] E[ACCEPTED#844424930132027/NEW/0] | OPEN last=102 mark=0 bid=- ask=98:1 n=8 oid=59 tid=10 eid=86 | 2e1c9eb8a1ecb881
capped-decrement-shard3/0090 CANCEL      u1 <-72                  | REJECTED:ORDER_NOT_FOUND     | T[] E[] | OPEN last=102 mark=0 bid=- ask=98:1 n=8 oid=59 tid=10 eid=86 | 2e1c9eb8a1ecb881
capped-decrement-shard3/0091 SUBMIT      u3 S L 101x6 FOK+g2      | REJECTED:FOK_CANNOT_FILL     | T[] E[REJECTED#844424930132028/FOK_CANNOT_FILL/REJECTED/0] | OPEN last=102 mark=0 bid=- ask=98:1 n=8 oid=60 tid=10 eid=87 | 975021ce57d43553
capped-decrement-shard3/0092 CANCEL_ALL  u0                       | CANCELLED n=3                | T[] E[CANCELED#844424930132027/CANCELLED/0 CANCELED#844424930132020/CANCELLED/1 CANCELED#844424930132004/CANCELLED/0] | OPEN last=102 mark=0 bid=- ask=98:1 n=5 oid=60 tid=10 eid=90 | ed57e82c5db75cdc
capped-decrement-shard3/0093 SUBMIT      u1 B L 101x4 GTC         | PARTIALLY_FILLED             | T[844424930131979:98x1 b844424930132029 s844424930132026 m844424930132026 t844424930132029 B seq11] E[ACCEPTED#844424930132029/PARTIALLY_FILLED/1 TRADE#844424930132029/98x1] | OPEN last=98 mark=0 bid=101:3 ask=102:9 n=5 oid=61 tid=11 eid=92 | a21ca1f9761be93f
capped-decrement-shard3/0094 SUBMIT      u1 S L 100x5 IOC         | CANCELLED                    | T[] E[ACCEPTED#844424930132030/CANCELLED/0 CANCELED#844424930132029/PARTIALLY_FILLED/1 CANCELED#844424930132030/CANCELLED/0] | OPEN last=98 mark=0 bid=- ask=102:9 n=4 oid=62 tid=11 eid=95 | be32a43eb68b4231
capped-decrement-shard3/0095 CANCEL      u2 <-36                  | REJECTED:ORDER_NOT_FOUND     | T[] E[] | OPEN last=98 mark=0 bid=- ask=102:9 n=4 oid=62 tid=11 eid=95 | be32a43eb68b4231
capped-decrement-shard3/0096 SUBMIT      u2 S L 101x3 GTC+g1      | NEW                          | T[] E[ACCEPTED#844424930132031/NEW/0] | OPEN last=98 mark=0 bid=- ask=101:3 n=5 oid=63 tid=11 eid=96 | a817091760d6e64e
capped-decrement-shard3/0097 SUBMIT      u2 B L 101x1 GTC         | CANCELLED                    | T[] E[ACCEPTED#844424930132032/CANCELLED/0 REPLACED#844424930132031/NEW/0 CANCELED#844424930132032/CANCELLED/0] | OPEN last=98 mark=0 bid=- ask=101:2 n=5 oid=64 tid=11 eid=99 | b994ddb933070313
capped-decrement-shard3/0098 RESUME                               | OK                           | T[] E[] | OPEN last=98 mark=0 bid=- ask=101:2 n=5 oid=64 tid=11 eid=99 | b994ddb933070313
capped-decrement-shard3/0099 SUBMIT      u0 S M 104x1 GTC+DECREMENT+g2 | REJECTED:MARKET_NO_LIQUIDITY | T[] E[ACCEPTED#844424930132033/CANCELLED/0 CANCELED#844424930132033/CANCELLED/0] | OPEN last=98 mark=0 bid=- ask=101:2 n=5 oid=65 tid=11 eid=101 | 8389f6430485d2c4
capped-decrement-shard3/0100 SUBMIT      u1 S L 103x3 GTC+g2      | NEW                          | T[] E[ACCEPTED#844424930132034/NEW/0] | OPEN last=98 mark=0 bid=- ask=101:2 n=6 oid=66 tid=11 eid=102 | a37b0399bda66be8
capped-decrement-shard3/0101 SUBMIT      u3 S L 104x9 GTC+g1      | NEW                          | T[] E[ACCEPTED#844424930132035/NEW/0] | OPEN last=98 mark=0 bid=- ask=101:2 n=7 oid=67 tid=11 eid=103 | d8a32981489147f1
capped-decrement-shard3/0102 SUBMIT      u0 S L 102x3 GTC+g1      | NEW                          | T[] E[ACCEPTED#844424930132036/NEW/0] | OPEN last=98 mark=0 bid=- ask=101:2 n=8 oid=68 tid=11 eid=104 | 9b77e1022ab9ac0c
capped-decrement-shard3/0103 REDUCE      u0 <-90 to 3             | REJECTED:ORDER_NOT_FOUND     | T[] E[] | OPEN last=98 mark=0 bid=- ask=101:2 n=8 oid=68 tid=11 eid=104 | 9b77e1022ab9ac0c
capped-decrement-shard3/0104 SUBMIT      u0 B L 102x5 FOK+ALLOW   | FILLED                       | T[844424930131980:101x2 b844424930132037 s844424930132031 m844424930132031 t844424930132037 B seq12 844424930131981:102x3 b844424930132037 s844424930132024 m844424930132024 t844424930132037 B seq13] E[ACCEPTED#844424930132037/FILLED/5 TRADE#844424930132037/101x2 TRADE#844424930132037/102x3] | OPEN last=102 mark=0 bid=- ask=102:9 n=7 oid=69 tid=13 eid=107 | aec3f02201ada16d
capped-decrement-shard3/0105 SUBMIT      u2 S L 99x3 FOK+PO       | REJECTED:FOK_CANNOT_FILL     | T[] E[REJECTED#844424930132038/FOK_CANNOT_FILL/REJECTED/0] | OPEN last=102 mark=0 bid=- ask=102:9 n=7 oid=70 tid=13 eid=108 | 2597ef20b6aaa7b0
capped-decrement-shard3/0106 RESUME                               | OK                           | T[] E[] | OPEN last=102 mark=0 bid=- ask=102:9 n=7 oid=70 tid=13 eid=108 | 2597ef20b6aaa7b0
capped-decrement-shard3/0107 SUBMIT      u3 B M 98x3 FOK+DECREMENT | FILLED                       | T[844424930131982:102x3 b844424930132039 s844424930132024 m844424930132024 t844424930132039 B seq14] E[ACCEPTED#844424930132039/FILLED/3 TRADE#844424930132039/102x3] | OPEN last=102 mark=0 bid=- ask=102:6 n=7 oid=71 tid=14 eid=110 | 6c880537266d4bd0
capped-decrement-shard3/0108 SUBMIT      u2 B L 103x8 GTC+CANCEL_NEWEST | FILLED                       | T[844424930131983:102x3 b844424930132040 s844424930132024 m844424930132024 t844424930132040 B seq15 844424930131984:102x3 b844424930132040 s844424930132036 m844424930132036 t844424930132040 B seq16 844424930131985:103x2 b844424930132040 s844424930131974 m844424930131974 t844424930132040 B seq17] E[ACCEPTED#844424930132040/FILLED/8 TRADE#844424930132040/102x3 TRADE#844424930132040/102x3 TRADE#844424930132040/103x2] | OPEN last=103 mark=0 bid=- ask=103:14 n=5 oid=72 tid=17 eid=114 | c1619b0349ade7df
capped-decrement-shard3/0109 SUBMIT      u3 S L 98x2 IOC+g2       | CANCELLED                    | T[] E[ACCEPTED#844424930132041/CANCELLED/0 CANCELED#844424930132041/CANCELLED/0] | OPEN last=103 mark=0 bid=- ask=103:14 n=5 oid=73 tid=17 eid=116 | cef116c19462cbd1
capped-decrement-shard3/0110 CANCEL      u1 <-94                  | REJECTED:ORDER_NOT_FOUND     | T[] E[] | OPEN last=103 mark=0 bid=- ask=103:14 n=5 oid=73 tid=17 eid=116 | cef116c19462cbd1
capped-decrement-shard3/0111 SUBMIT      u1 B L 104x7 GTC+DECREMENT+g2 | CANCELLED                    | T[] E[ACCEPTED#844424930132042/CANCELLED/0 CANCELED#844424930131974/PARTIALLY_FILLED/2 REPLACED#844424930132009/NEW/0 CANCELED#844424930132042/CANCELLED/0] | OPEN last=103 mark=0 bid=- ask=103:7 n=4 oid=74 tid=17 eid=120 | df152c1ef2ecdcfc
capped-decrement-shard3/0112 SUBMIT      u3 B L 103x8 GTC+PO+g1   | REJECTED:POST_ONLY_WOULD_CROSS | T[] E[REJECTED#844424930132043/POST_ONLY_WOULD_CROSS/REJECTED/0] | OPEN last=103 mark=0 bid=- ask=103:7 n=4 oid=75 tid=17 eid=121 | 62a5d4cad2c26062
capped-decrement-shard3/0113 SUBMIT      u1 B L 104x6 GTC+CANCEL_OLDEST | FILLED                       | T[844424930131986:104x6 b844424930132044 s844424930132035 m844424930132035 t844424930132044 B seq18] E[ACCEPTED#844424930132044/FILLED/6 CANCELED#844424930132009/CANCELLED/0 CANCELED#844424930132034/CANCELLED/0 CANCELED#844424930131973/CANCELLED/0 TRADE#844424930132044/104x6] | OPEN last=104 mark=0 bid=- ask=104:3 n=1 oid=76 tid=18 eid=126 | e5db0eca49077527
capped-decrement-shard3/0114 SUBMIT      u3 B L 99x8 GTC+CANCEL_NEWEST | NEW                          | T[] E[ACCEPTED#844424930132045/NEW/0] | OPEN last=104 mark=0 bid=99:8 ask=104:3 n=2 oid=77 tid=18 eid=127 | a95888d4dca3e169
capped-decrement-shard3/0115 CANCEL_ALL  u2                       | CANCELLED n=0                | T[] E[] | OPEN last=104 mark=0 bid=99:8 ask=104:3 n=2 oid=77 tid=18 eid=127 | a95888d4dca3e169
capped-decrement-shard3/0116 CANCEL      u0 <-102                 | REJECTED:ORDER_NOT_FOUND     | T[] E[] | OPEN last=104 mark=0 bid=99:8 ask=104:3 n=2 oid=77 tid=18 eid=127 | a95888d4dca3e169
capped-decrement-shard3/0117 SUBMIT      u0 B L 101x7 GTC         | NEW                          | T[] E[ACCEPTED#844424930132046/NEW/0] | OPEN last=104 mark=0 bid=101:7 ask=104:3 n=3 oid=78 tid=18 eid=128 | 1cafe2e72594c930
capped-decrement-shard3/0118 SUBMIT      u1 B M 102x2 GTC+g1      | FILLED                       | T[] E[ACCEPTED#844424930132047/CANCELLED/0 REPLACED#844424930132035/PARTIALLY_FILLED/6] | OPEN last=104 mark=0 bid=101:7 ask=104:1 n=3 oid=79 tid=18 eid=130 | d7d1be62cb470d0b
capped-decrement-shard3/0119 CANCEL      u0 <-117                 | CANCELLED                    | T[] E[CANCELED#844424930132046/CANCELLED/0] | OPEN last=104 mark=0 bid=99:8 ask=104:1 n=2 oid=79 tid=18 eid=131 | 135c1b17069ad478
capped-decrement-shard3/0120 SUBMIT      u0 B L 99x9 GTC+CANCEL_NEWEST | NEW                          | T[] E[ACCEPTED#844424930132048/NEW/0] | OPEN last=104 mark=0 bid=99:17 ask=104:1 n=3 oid=80 tid=18 eid=132 | 9cffbd2e108bc388
capped-decrement-shard3/0121 SUBMIT      u0 S L 100x8 GTC         | NEW                          | T[] E[ACCEPTED#844424930132049/NEW/0] | OPEN last=104 mark=0 bid=99:17 ask=100:8 n=4 oid=81 tid=18 eid=133 | e16098934b15186c
capped-decrement-shard3/0122 SUBMIT      u1 B L 104x7 GTC+g2      | FILLED                       | T[844424930131987:100x7 b844424930132050 s844424930132049 m844424930132049 t844424930132050 B seq19] E[ACCEPTED#844424930132050/FILLED/7 TRADE#844424930132050/100x7] | OPEN last=100 mark=0 bid=99:17 ask=100:1 n=4 oid=82 tid=19 eid=135 | 748963857ee452ec
capped-decrement-shard3/0123 SUBMIT      u0 S L 98x4 FOK+ALLOW    | FILLED                       | T[844424930131988:99x4 b844424930132045 s844424930132051 m844424930132045 t844424930132051 S seq20] E[ACCEPTED#844424930132051/FILLED/4 TRADE#844424930132051/99x4] | OPEN last=99 mark=0 bid=99:13 ask=100:1 n=4 oid=83 tid=20 eid=137 | 63a077ab2b6ff4b3
